symbol,open_price,prev_close,gap_up_percent,vol_traded_today,ltp
NSE:ABSLAMC-EQ,792.0,772.85,2.48,57607,794.05
NSE:HDFCAMC-EQ,2602.9,2541.2,2.43,109168,2639.6
