symbol,open_price,prev_close,gap_up_percent,vol_traded_today,ltp
NSE:ENGINERSIN-EQ,213.1,208.8,2.06,3674059,214.6
NSE:ASAHIINDIA-EQ,865.0,846.9,2.14,82911,866.4
