symbol,open_price,prev_close,gap_up_percent,vol_traded_today,ltp
NSE:GMDCLTD-EQ,504.0,494.1,2.0,239162,505.55
NSE:IDBI-EQ,97.49,95.15,2.46,1374198,97.43
