symbol,open_price,prev_close,gap_up_percent,vol_traded_today,ltp
NSE:HOMEFIRST-EQ,1125.1,1094.1,2.83,71968,1119.1
NSE:HFCL-EQ,70.98,69.03,2.82,2521967,70.59
