symbol,open_price,prev_close,gap_up_percent,vol_traded_today,ltp
NSE:HINDZINC-EQ,503.5,491.45,2.45,1035783,504.3
NSE:SAMMAANCAP-EQ,144.71,141.59,2.2,1578616,144.23
